Technique,Count,Percentage
obf_comment_sql_version+obf_case_random+obf_double_url_encode,46,0.19%
obf_whitespace_url+obf_url_encode_adv_obf_full_bypass,46,0.19%
obf_whitespace_url+obf_comment_sql_version+obf_double_url_encode_adv_obf,45,0.19%
Double URL Encode_adv_obf,45,0.19%
obf_comment_sql_version+obf_whitespace_url+obf_url_encode_adv_obf,45,0.19%
obf_double_url_encode+obf_case_random+obf_comment_sql,45,0.19%
XSS - Unclassified (manual refine)_adv_obf,45,0.19%
obf_whitespace_url+obf_url_encode+obf_comment_sql,45,0.19%
Double URL Encode (heuristic),45,0.19%
obf_whitespace_url+obf_comment_sql_version+obf_double_url_encode,45,0.19%
obf_whitespace_url+obf_double_url_encode_full_bypass,45,0.19%
obf_whitespace_url+obf_url_encode+obf_double_url_encode,45,0.19%
obf_case_random+obf_double_url_encode+obf_whitespace_url_adv_obf_full_bypass,45,0.19%
Union/Boolean SQLI (manual refine),45,0.19%
Unicode Homoglyph Homoglyph( -> )_full_bypass,45,0.19%
obf_double_url_encode+obf_case_random+obf_url_encode_adv_obf,45,0.19%
Triple URL EXTRACTVALUE Error-Based_adv_obf,44,0.18%
obf_comment_sql+obf_double_url_encode_adv_obf,44,0.18%
obf_whitespace_url+obf_double_url_encode_adv_obf_full_bypass,44,0.18%
obf_comment_sql_version+obf_case_random+obf_double_url_encode_adv_obf_full_bypass,44,0.18%
Triple URL Encode_adv_obf_full_bypass,44,0.18%
obf_comment_sql+obf_double_url_encode_full_bypass,44,0.18%
obf_comment_sql+obf_double_url_encode+obf_url_encode,44,0.18%
obf_double_url_encode+obf_case_random+obf_whitespace_url_adv_obf_full_bypass,44,0.18%
SQLI - Object Injection (Manual Refine),44,0.18%
Double URL_adv_obf_full_bypass,43,0.18%
obf_url_encode+obf_case_random+obf_double_url_encode_adv_obf_full_bypass,43,0.18%
obf_double_url_encode+obf_case_random+obf_comment_sql_version_adv_obf_full_bypass,43,0.18%
SQLI - Unclassified (manual refine)_full_bypass,43,0.18%
OOB/Advanced SQLI (manual refine)_adv_obf,43,0.18%
obf_double_url_encode+obf_url_encode+obf_case_random_adv_obf_full_bypass,43,0.18%
Triple URL NAME_CONST Error,43,0.18%
None XSS DOM-based_adv_obf,43,0.18%
Triple URL XSS DOM-based_adv_obf,43,0.18%
obf_double_url_encode+obf_comment_sql_version+obf_case_random,43,0.18%
obf_double_url_encode+obf_case_random+obf_comment_sql_version,43,0.18%
Triple URL Encode (heuristic)_adv_obf,43,0.18%
obf_double_url_encode+obf_whitespace_url+obf_case_random,42,0.18%
Triple URL Out-of-Band SQLi,42,0.18%
obf_double_url_encode+obf_comment_sql,42,0.18%
obf_comment_sql+obf_double_url_encode+obf_whitespace_url_adv_obf,42,0.18%
obf_url_encode+obf_double_url_encode,42,0.18%
Double URL GEOMETRYCOLLECTION Error,42,0.18%
Command Injection_full_bypass,42,0.18%
obf_comment_sql+obf_case_random+obf_double_url_encode_full_bypass,42,0.18%
Triple URL POLYGON Error_adv_obf_full_bypass,41,0.17%
obf_double_url_encode+obf_whitespace_url+obf_case_random_adv_obf_full_bypass,41,0.17%
Double URL NAME_CONST Error_adv_obf,41,0.17%
obf_double_url_encode+obf_comment_sql+obf_case_random_full_bypass,41,0.17%
obf_comment_sql+obf_double_url_encode+obf_case_random,41,0.17%
Triple URL Out-of-Band SQLi_adv_obf,41,0.17%
Triple URL Encode (heuristic)_full_bypass,41,0.17%
obf_comment_sql+obf_case_random+obf_double_url_encode_adv_obf,41,0.17%
obf_comment_sql+obf_double_url_encode+obf_whitespace_url_adv_obf_full_bypass,41,0.17%
obf_whitespace_url+obf_comment_sql_version+obf_double_url_encode_full_bypass,41,0.17%
Double URL GEOMETRYCOLLECTION Error_adv_obf,40,0.17%
Double URL Advanced Error-Based SQLi,40,0.17%
obf_double_url_encode+obf_whitespace_url+obf_comment_sql_adv_obf_full_bypass,40,0.17%
obf_comment_sql+obf_double_url_encode+obf_case_random_adv_obf,40,0.17%
obf_whitespace_url+obf_comment_sql+obf_url_encode_adv_obf,40,0.17%
Unicode Homoglyph_adv_obf,40,0.17%
Double URL EXTRACTVALUE Error-Based,40,0.17%
Triple URL Encode (heuristic),40,0.17%
Double URL UPDATEXML Error-Based,40,0.17%
obf_case_random+obf_double_url_encode_full_bypass,40,0.17%
obf_double_url_encode+obf_comment_sql+obf_url_encode_full_bypass,40,0.17%
Unicode Homoglyph,40,0.17%
obf_comment_sql_version+obf_double_url_encode+obf_case_random_adv_obf,40,0.17%
Triple URL MULTILINESTRING Error_adv_obf,39,0.16%
obf_comment_sql+obf_double_url_encode+obf_whitespace_url,39,0.16%
Double URL GEOMETRYCOLLECTION Error_adv_obf_full_bypass,39,0.16%
obf_comment_sql_version+obf_whitespace_url+obf_url_encode_full_bypass,39,0.16%
obf_double_url_encode+obf_case_random_adv_obf_full_bypass,39,0.16%
SQLI Keyword (heuristic)_adv_obf_full_bypass,39,0.16%
obf_comment_sql_version+obf_double_url_encode+obf_case_random_full_bypass,39,0.16%
Triple URL EXTRACTVALUE Error-Based,39,0.16%
obf_comment_sql_version+obf_whitespace_url+obf_url_encode_adv_obf_full_bypass,39,0.16%
Direct JS Call XSS (manual refine)_adv_obf,39,0.16%
Command Injection_adv_obf,39,0.16%
obf_double_url_encode+obf_case_random+obf_comment_sql_version_full_bypass,39,0.16%
obf_double_url_encode+obf_case_random+obf_comment_sql_version_adv_obf,38,0.16%
Triple URL UPDATEXML Error-Based_adv_obf,38,0.16%
obf_comment_sql_version+obf_whitespace_url+obf_url_encode,38,0.16%
Union/Boolean SQLI (manual refine)_adv_obf_full_bypass,38,0.16%
Triple URL UPDATEXML Error-Based,38,0.16%
obf_whitespace_url+obf_url_encode+obf_double_url_encode_adv_obf_full_bypass,38,0.16%
Double URL Encode XSS (heuristic)_adv_obf,38,0.16%
Unicode Homoglyph_adv_obf_full_bypass,38,0.16%
obf_url_encode+obf_double_url_encode+obf_case_random_adv_obf_full_bypass,38,0.16%
Triple URL Advanced Error-Based SQLi_adv_obf_full_bypass,37,0.15%
Triple URL POLYGON Error_full_bypass,37,0.15%
Triple URL Advanced Error-Based SQLi_full_bypass,37,0.15%
Triple URL MULTIPOINT Error_adv_obf,37,0.15%
obf_case_random+obf_comment_sql+obf_double_url_encode_full_bypass,37,0.15%
SQLI Keyword (heuristic)_adv_obf,37,0.15%
Double URL Encode (heuristic)_full_bypass,37,0.15%
obf_url_encode+obf_double_url_encode_full_bypass,37,0.15%
obf_case_random+obf_double_url_encode+obf_comment_sql_version_adv_obf_full_bypass,37,0.15%
obf_double_url_encode+obf_comment_sql_adv_obf,37,0.15%
SQLI Keyword (heuristic)_full_bypass,37,0.15%
Unicode Homoglyph Homoglyph( -> )_adv_obf_full_bypass,37,0.15%
obf_comment_sql_version+obf_double_url_encode+obf_url_encode_full_bypass,37,0.15%
obf_whitespace_url+obf_comment_sql+obf_url_encode_adv_obf_full_bypass,37,0.15%
Double URL ST_X Geometry Error,37,0.15%
obf_double_url_encode+obf_comment_sql+obf_url_encode_adv_obf,37,0.15%
Triple URL_adv_obf_full_bypass,37,0.15%
obf_comment_sql_version+obf_double_url_encode,37,0.15%
Double URL MULTILINESTRING Error_adv_obf_full_bypass,37,0.15%
Triple URL EXTRACTVALUE Error-Based_adv_obf_full_bypass,37,0.15%
XSS - Unicode/Nested Entity Obfuscation (Manual Refine),36,0.15%
obf_comment_sql_version+obf_double_url_encode+obf_url_encode_adv_obf_full_bypass,36,0.15%
Double URL Encode XSS (manual refine)_adv_obf,36,0.15%
obf_whitespace_url+obf_double_url_encode+obf_url_encode_adv_obf,36,0.15%
obf_double_url_encode+obf_comment_sql+obf_case_random,36,0.15%
Triple URL Encode XSS (heuristic)_adv_obf,36,0.15%
obf_double_url_encode+obf_comment_sql_version+obf_case_random_full_bypass,36,0.15%
obf_double_url_encode+obf_comment_sql_version+obf_case_random_adv_obf,36,0.15%
obf_comment_sql+obf_case_random+obf_double_url_encode_adv_obf_full_bypass,36,0.15%
obf_whitespace_url+obf_url_encode+obf_double_url_encode_full_bypass,36,0.15%
obf_whitespace_url+obf_url_encode,36,0.15%
obf_comment_sql+obf_double_url_encode+obf_url_encode_adv_obf_full_bypass,36,0.15%
OOB/Advanced SQLI (manual refine)_full_bypass,36,0.15%
obf_case_random+obf_url_encode+obf_double_url_encode,36,0.15%
obf_comment_sql_version+obf_double_url_encode+obf_case_random,36,0.15%
obf_double_url_encode+obf_whitespace_url+obf_comment_sql_adv_obf,36,0.15%
obf_double_url_encode+obf_whitespace_url+obf_case_random_full_bypass,36,0.15%
obf_comment_sql_version+obf_double_url_encode+obf_url_encode_adv_obf,36,0.15%
Double URL XSS DOM-based,35,0.15%
Triple URL MULTILINESTRING Error,35,0.15%
Triple URL MULTIPOINT Error,35,0.15%
obf_whitespace_url+obf_url_encode+obf_comment_sql_adv_obf_full_bypass,35,0.15%
Double URL MULTIPOINT Error,35,0.15%
obf_case_random+obf_double_url_encode+obf_url_encode,35,0.15%
obf_comment_sql+obf_url_encode+obf_double_url_encode_adv_obf_full_bypass,34,0.14%
Triple URL Encode_full_bypass,34,0.14%
Double URL MULTIPOINT Error_adv_obf_full_bypass,34,0.14%
obf_whitespace_url+obf_comment_sql+obf_url_encode_full_bypass,34,0.14%
obf_comment_sql_version+obf_double_url_encode+obf_comment_sql_adv_obf_full_bypass,34,0.14%
obf_case_random+obf_double_url_encode_adv_obf_full_bypass,34,0.14%
Double URL Encode_full_bypass,34,0.14%
Double URL MULTILINESTRING Error_adv_obf,34,0.14%
obf_comment_sql_version+obf_comment_sql+obf_double_url_encode_adv_obf,34,0.14%
Double URL Advanced Error-Based SQLi_adv_obf_full_bypass,34,0.14%
obf_whitespace_url+obf_comment_sql+obf_double_url_encode_full_bypass,34,0.14%
obf_double_url_encode+obf_case_random+obf_url_encode,34,0.14%
obf_comment_sql_version+obf_double_url_encode_adv_obf_full_bypass,34,0.14%
obf_double_url_encode+obf_whitespace_url+obf_comment_sql,34,0.14%
obf_case_random+obf_whitespace_url+obf_double_url_encode_full_bypass,34,0.14%
Double URL Advanced Error-Based SQLi_adv_obf,33,0.14%
obf_whitespace_url+obf_comment_sql+obf_url_encode,33,0.14%
Triple URL Advanced Error-Based SQLi,33,0.14%
obf_case_random+obf_comment_sql+obf_double_url_encode_adv_obf,33,0.14%
Triple URL EXTRACTVALUE Error-Based_full_bypass,33,0.14%
Triple URL ST_X Geometry Error,33,0.14%
XSS Keyword (heuristic)_adv_obf,33,0.14%
obf_case_random+obf_double_url_encode+obf_comment_sql_version_adv_obf,33,0.14%
obf_double_url_encode+obf_comment_sql+obf_case_random_adv_obf_full_bypass,32,0.13%
Direct JS Call XSS (manual refine)_full_bypass,32,0.13%
Union/Boolean SQLI (manual refine)_full_bypass,32,0.13%
Double URL Out-of-Band SQLi_full_bypass,32,0.13%
Direct JS Call XSS (manual refine),32,0.13%
obf_whitespace_url+obf_double_url_encode+obf_case_random,32,0.13%
Double URL Out-of-Band SQLi,32,0.13%
obf_double_url_encode+obf_comment_sql+obf_case_random_adv_obf,32,0.13%
obf_whitespace_url+obf_case_random+obf_double_url_encode_full_bypass,32,0.13%
Double URL UPDATEXML Error-Based_adv_obf,31,0.13%
Triple URL ST_X Geometry Error_adv_obf,31,0.13%
obf_url_encode+obf_double_url_encode+obf_case_random_full_bypass,31,0.13%
obf_comment_sql+obf_double_url_encode+obf_url_encode_adv_obf,31,0.13%
obf_comment_sql+obf_double_url_encode+obf_case_random_full_bypass,31,0.13%
Whitespace,31,0.13%
Double URL Encode (heuristic)_adv_obf_full_bypass,31,0.13%
obf_case_random+obf_comment_sql+obf_double_url_encode,31,0.13%
obf_url_encode+obf_double_url_encode_adv_obf,31,0.13%
obf_case_random+obf_whitespace_url+obf_double_url_encode_non_script_xss,31,0.13%
None XSS DOM-based,31,0.13%
Triple URL MULTIPOINT Error_adv_obf_full_bypass,31,0.13%
Event Handler XSS (heuristic)_adv_obf,31,0.13%
obf_whitespace_url+obf_double_url_encode_adv_obf_non_script_xss,31,0.13%
Triple URL MULTILINESTRING Error_full_bypass,31,0.13%
Triple URL_full_bypass_non_script_xss,31,0.13%
obf_comment_sql+obf_double_url_encode,31,0.13%
Double URL POLYGON Error_adv_obf,31,0.13%
OOB/Advanced SQLI (manual refine)_adv_obf_full_bypass,31,0.13%
Double URL UPDATEXML Error-Based_adv_obf_full_bypass,31,0.13%
obf_url_encode+obf_case_random+obf_double_url_encode_full_bypass_non_script_xss,30,0.12%
Double URL_adv_obf_full_bypass_non_script_xss,30,0.12%
XSS Reflected (Generated)_full_bypass_non_script_xss,30,0.12%
obf_comment_sql+obf_double_url_encode_adv_obf_full_bypass,30,0.12%
Triple URL Out-of-Band SQLi_full_bypass,30,0.12%
obf_comment_sql_version+obf_case_random+obf_double_url_encode_adv_obf,30,0.12%
obf_comment_sql+obf_double_url_encode+obf_whitespace_url_full_bypass,30,0.12%
Double URL MULTIPOINT Error_adv_obf,30,0.12%
Double URL Encode XSS (manual refine)_adv_obf_non_script_xss,30,0.12%
Triple URL Encode XSS (heuristic)_adv_obf_full_bypass,30,0.12%
XSS - Image Tag No Quotes (Manual Refine),30,0.12%
Unicode Homoglyph_full_bypass,30,0.12%
Triple URL GEOMETRYCOLLECTION Error_adv_obf_full_bypass,30,0.12%
Double URL Advanced Error-Based SQLi_full_bypass,30,0.12%
Unicode Homoglyph Homoglyph( -> )_adv_obf,30,0.12%
obf_comment_sql_version+obf_case_random+obf_double_url_encode_full_bypass,30,0.12%
Whitespace_adv_obf,30,0.12%
Triple URL UPDATEXML Error-Based_full_bypass,30,0.12%
obf_whitespace_url+obf_url_encode+obf_comment_sql_adv_obf,29,0.12%
XSS - ActiveX/COM Object Injection (Manual Refine),29,0.12%
XSS - Unclassified (manual refine)_full_bypass,29,0.12%
obf_comment_sql+obf_double_url_encode+obf_url_encode_full_bypass,29,0.12%
obf_case_random+obf_comment_sql+obf_double_url_encode_adv_obf_full_bypass,29,0.12%
obf_double_url_encode+obf_case_random+obf_comment_sql_adv_obf,29,0.12%
obf_comment_sql+obf_double_url_encode+obf_case_random_adv_obf_full_bypass,29,0.12%
Command Injection_adv_obf_full_bypass,29,0.12%
Triple URL NAME_CONST Error_adv_obf_full_bypass,29,0.12%
obf_case_random+obf_comment_sql_version+obf_double_url_encode_adv_obf,29,0.12%
Triple URL Encode XSS (heuristic)_full_bypass,29,0.12%
obf_double_url_encode+obf_url_encode+obf_case_random_full_bypass,29,0.12%
Triple URL_full_bypass,29,0.12%
obf_comment_sql_version+obf_comment_sql+obf_double_url_encode_adv_obf_full_bypass,29,0.12%
obf_case_random+obf_whitespace_url+obf_double_url_encode_adv_obf_non_script_xss,29,0.12%
obf_case_random+obf_double_url_encode+obf_whitespace_url_full_bypass,28,0.12%
obf_double_url_encode+obf_case_random+obf_comment_sql_full_bypass,28,0.12%
Triple URL NAME_CONST Error_adv_obf,28,0.12%
obf_whitespace_url+obf_double_url_encode+obf_url_encode_adv_obf_full_bypass_non_script_xss,28,0.12%
XSS Reflected (Generated)_full_bypass,28,0.12%
Triple URL Encode XSS (heuristic)_non_script_xss,28,0.12%
obf_comment_sql_version+obf_double_url_encode_adv_obf,28,0.12%
Triple URL POLYGON Error,28,0.12%
obf_comment_sql_version+obf_double_url_encode+obf_comment_sql_adv_obf,28,0.12%
Double URL Out-of-Band SQLi_adv_obf_full_bypass,28,0.12%
obf_double_url_encode+obf_case_random+obf_comment_sql_adv_obf_full_bypass,28,0.12%
SQLI - Invalid Byte Sequence (Manual Refine),28,0.12%
Triple URL ST_X Geometry Error_adv_obf_full_bypass,27,0.11%
Double URL EXTRACTVALUE Error-Based_adv_obf,27,0.11%
obf_case_random+obf_comment_sql_version+obf_double_url_encode_adv_obf_full_bypass,27,0.11%
Triple URL XSS DOM-based_non_script_xss,27,0.11%
XSS Keyword (heuristic)_full_bypass_non_script_xss,27,0.11%
obf_whitespace_url+obf_double_url_encode+obf_case_random_adv_obf_full_bypass,27,0.11%
obf_whitespace_url+obf_double_url_encode+obf_url_encode_adv_obf_full_bypass,27,0.11%
None XSS DOM-based_full_bypass_non_script_xss,27,0.11%
obf_case_random+obf_comment_sql_version+obf_double_url_encode_full_bypass,27,0.11%
obf_whitespace_url+obf_comment_sql_version+obf_double_url_encode_adv_obf_full_bypass,27,0.11%
obf_whitespace_url+obf_url_encode_full_bypass,27,0.11%
obf_double_url_encode+obf_comment_sql_adv_obf_full_bypass,27,0.11%
obf_double_url_encode+obf_case_random+obf_url_encode_adv_obf_full_bypass,27,0.11%
Double URL Encode XSS (heuristic)_full_bypass,27,0.11%
Triple URL UPDATEXML Error-Based_adv_obf_full_bypass,27,0.11%
Double URL_full_bypass,27,0.11%
Double URL_non_script_xss,26,0.11%
Double URL EXTRACTVALUE Error-Based_adv_obf_full_bypass,26,0.11%
Direct JS Call XSS (manual refine)_adv_obf_non_script_xss,26,0.11%
obf_whitespace_url+obf_url_encode+obf_double_url_encode_non_script_xss,26,0.11%
Double URL Encode XSS (manual refine)_adv_obf_full_bypass,26,0.11%
obf_whitespace_url+obf_comment_sql+obf_double_url_encode,26,0.11%
Double URL XSS DOM-based_full_bypass_non_script_xss,26,0.11%
Double URL POLYGON Error_adv_obf_full_bypass,26,0.11%
Event Handler XSS (heuristic)_adv_obf_full_bypass,26,0.11%
obf_case_random+obf_url_encode+obf_double_url_encode_adv_obf,26,0.11%
obf_comment_sql_version+obf_double_url_encode_full_bypass,26,0.11%
Triple URL MULTILINESTRING Error_adv_obf_full_bypass,26,0.11%
obf_double_url_encode+obf_case_random_adv_obf_non_script_xss,26,0.11%
Double URL Encode_adv_obf_full_bypass,26,0.11%
obf_comment_sql+obf_url_encode+obf_double_url_encode_full_bypass,26,0.11%
Double URL ST_X Geometry Error_adv_obf_full_bypass,26,0.11%
obf_whitespace_url+obf_url_encode_adv_obf,26,0.11%
Triple URL XSS DOM-based_adv_obf_non_script_xss,26,0.11%
Triple URL XSS DOM-based,26,0.11%
SQLI - Unclassified (manual refine)_adv_obf_full_bypass,26,0.11%
obf_comment_sql+obf_url_encode+obf_double_url_encode_adv_obf,26,0.11%
Triple URL XSS DOM-based_full_bypass_non_script_xss,25,0.10%
obf_double_url_encode+obf_case_random+obf_whitespace_url_full_bypass,25,0.10%
Double URL Encode_adv_obf_non_script_xss,25,0.10%
Unicode Homoglyph_non_script_xss,25,0.10%
obf_url_encode+obf_double_url_encode_adv_obf_full_bypass,25,0.10%
obf_double_url_encode+obf_comment_sql+obf_url_encode_adv_obf_full_bypass,25,0.10%
Double URL XSS DOM-based_adv_obf_non_script_xss,25,0.10%
Double URL ST_X Geometry Error_adv_obf,25,0.10%
obf_case_random+obf_url_encode+obf_double_url_encode_full_bypass,25,0.10%
obf_case_random+obf_double_url_encode+obf_url_encode_adv_obf_full_bypass_non_script_xss,25,0.10%
Double URL XSS DOM-based_non_script_xss,25,0.10%
Triple URL MULTIPOINT Error_full_bypass,25,0.10%
Unicode Homoglyph_full_bypass_non_script_xss,25,0.10%
Triple URL Encode_full_bypass_non_script_xss,24,0.10%
obf_whitespace_url+obf_double_url_encode+obf_case_random_adv_obf_non_script_xss,24,0.10%
Double URL Encode_non_script_xss,24,0.10%
OOB/Advanced SQLI (manual refine),24,0.10%
Event Handler XSS (heuristic)_non_script_xss,24,0.10%
XSS Keyword (heuristic)_adv_obf_full_bypass_non_script_xss,24,0.10%
Direct JS Call XSS (manual refine)_adv_obf_full_bypass_non_script_xss,24,0.10%
obf_case_random+obf_double_url_encode+obf_comment_sql_version_full_bypass,24,0.10%
Double URL Encode XSS (heuristic)_adv_obf_full_bypass_non_script_xss,23,0.10%
obf_double_url_encode+obf_url_encode+obf_case_random_full_bypass_non_script_xss,23,0.10%
Triple URL NAME_CONST Error_full_bypass,23,0.10%
obf_case_random+obf_double_url_encode+obf_url_encode_full_bypass,23,0.10%
obf_double_url_encode+obf_url_encode+obf_case_random_non_script_xss,23,0.10%
Event Handler XSS (heuristic)_full_bypass_non_script_xss,23,0.10%
Triple URL_non_script_xss,23,0.10%
Double URL UPDATEXML Error-Based_full_bypass,23,0.10%
XSS Keyword (heuristic)_non_script_xss,23,0.10%
Triple URL Encode XSS (heuristic)_full_bypass_non_script_xss,23,0.10%
Double URL Encode XSS (heuristic),23,0.10%
obf_whitespace_url+obf_double_url_encode+obf_case_random_adv_obf_full_bypass_non_script_xss,23,0.10%
Triple URL Out-of-Band SQLi_adv_obf_full_bypass,23,0.10%
obf_whitespace_url+obf_url_encode+obf_double_url_encode_full_bypass_non_script_xss,23,0.10%
XSS Keyword (heuristic)_full_bypass,22,0.09%
Double URL_adv_obf_non_script_xss,22,0.09%
Triple URL_adv_obf_full_bypass_non_script_xss,22,0.09%
obf_case_random+obf_double_url_encode+obf_whitespace_url_adv_obf_full_bypass_non_script_xss,22,0.09%
Triple URL POLYGON Error_adv_obf,22,0.09%
obf_double_url_encode+obf_url_encode+obf_case_random_adv_obf_full_bypass_non_script_xss,22,0.09%
Double URL Out-of-Band SQLi_adv_obf,22,0.09%
obf_whitespace_url+obf_url_encode+obf_comment_sql_full_bypass,22,0.09%
Unicode Homoglyph_adv_obf_non_script_xss,22,0.09%
obf_double_url_encode+obf_case_random_adv_obf_full_bypass_non_script_xss,22,0.09%
obf_case_random+obf_double_url_encode+obf_whitespace_url_non_script_xss,22,0.09%
obf_case_random+obf_double_url_encode_adv_obf_full_bypass_non_script_xss,22,0.09%
Double URL XSS DOM-based_full_bypass,22,0.09%
obf_whitespace_url+obf_case_random+obf_double_url_encode_adv_obf_non_script_xss,22,0.09%
obf_double_url_encode+obf_case_random_full_bypass,22,0.09%
obf_case_random+obf_url_encode+obf_double_url_encode_non_script_xss,22,0.09%
XSS - HTML Entity Obfuscation (Manual Refine),22,0.09%
obf_double_url_encode+obf_whitespace_url+obf_comment_sql_full_bypass,22,0.09%
Whitespace_adv_obf_full_bypass_non_script_xss,21,0.09%
XSS - Unclassified (manual refine)_full_bypass_non_script_xss,21,0.09%
Double URL NAME_CONST Error_adv_obf_full_bypass,21,0.09%
obf_double_url_encode+obf_comment_sql_full_bypass,21,0.09%
None XSS DOM-based_adv_obf_full_bypass,21,0.09%
obf_double_url_encode+obf_case_random+obf_url_encode_adv_obf_non_script_xss,21,0.09%
Direct JS Call XSS (manual refine)_non_script_xss,21,0.09%
obf_double_url_encode+obf_whitespace_url+obf_case_random_full_bypass_non_script_xss,21,0.09%
obf_case_random+obf_double_url_encode_full_bypass_non_script_xss,21,0.09%
None XSS DOM-based_adv_obf_full_bypass_non_script_xss,21,0.09%
